_id,NomEmpresa,IdcClassificacaoBarragens,DatConclusaoConstrucao
1,PRIMAVERA ENERGIA S.A.,C,1968-06-01
2,Roraima Energia S.A.,C,1991-08-01
3,Roraima Energia S.A.,C,1991-08-01
4,Roraima Energia S.A.,C,1991-08-01
5,Roraima Energia S.A.,C,1991-08-01
6,Roraima Energia S.A.,C,1991-08-01
7,Roraima Energia S.A.,C,1991-08-01
8,Roraima Energia S.A.,C,1991-08-01
9,Roraima Energia S.A.,C,1991-08-01
10,Roraima Energia S.A.,C,1991-08-01
11,Roraima Energia S.A.,C,1991-08-01
12,Água Clara Energética S.A.,B,1937-07-01
13,Água Clara Energética S.A.,B,1937-07-01
14,ENEL GREEN POWER CACHOEIRA DOURADA S.A,B,1958-06-01
15,AMG BRASIL S.A.,C,1936-01-26
16,Aquarius Energética S.A.,C,2006-05-02
17,LIGHT ENERGIA S.A,B,1924-01-01
18,LIGHT ENERGIA S.A,B,1924-01-01
19,Horizontes Energia S.A,B,1990-06-01
20,CELESC Geração S.A.,B,1963-12-01
21,CELESC Geração S.A.,B,1963-12-01
22,CELESC Geração S.A.,B,2000-04-01
23,Horizontes Energia S.A,C,1960-10-01
24,Horizontes Energia S.A,B,1955-10-01
25,Horizontes Energia S.A,C,1971-11-01
26,Hidrelétrica Rio Vitorino Ltda,C,2001-07-01
27,ENERGÉTICA SALTO NATAL S.A.,C,2003-09-01
28,ENERGÉTICA SALTO NATAL S.A.,C,2003-09-01
29,ENERGÉTICA SALTO NATAL S.A.,C,2003-09-01
30,Companhia De Geração e Transmissão de Energia Elétrica do Sul do Brasil - ELETROBRAS CGT ELETROSUL,B,2011-03-11
31,Copel Geração E Transmissão S.A.,B,2011-03-11
32,Centrais Elétricas Figueirão Ltda.,B,2008-12-20
33,HIDROLUZ CENTRAIS ELÉTRICAS LTDA,B,2008-12-20
34,BELA VISTA ENERGÉTICA LTDA.,C,2003-06-01
35,BELA VISTA ENERGÉTICA LTDA.,C,2003-06-01
36,Enel Green Power Cabeça de Boi S.A.,C,2016-07-08
37,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,B,1937-08-20
38,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,C,1953-08-20
39,ANGLOGOLD ASHANTI CÓRREGO DO SÍTIO MINERAÇÃO S.A.,C,1969-08-20
40,COMPANHIA ENERGÉTICA RIO DAS ANTAS,B,2008-10-15
41,SOCIBE ENERGIA S.A.,C,1996-06-01
42,AES Brasil Operações S.A.,B,1978-08-22
43,Aliança Geração de Energia S.A.,B,2005-09-20
44,Aliança Geração de Energia S.A.,B,2005-09-20
45,Aliança Geração de Energia S.A.,B,2005-09-20
46,Aliança Geração de Energia S.A.,B,2005-09-20
47,Aliança Geração de Energia S.A.,B,2005-09-20
48,Companhia Brasileira de Alumínio,B,1974-04-30
49,Statkraft Energias Renováveis S.A.,C,1920-02-20
50,ELETRON ELETRICIDADE DE RONDÔNIA S/A,C,1998-10-15
51,COOPERATIVA GERADORA DE ENERGIA ELÉTRICA E DESENVOLVIMENTO SANTA MARIA,C,1987-10-10
52,COOPERATIVA GERADORA DE ENERGIA ELÉTRICA E DESENVOLVIMENTO SANTA MARIA,C,1998-10-12
53,Alto Jauru Energética S.A,C,2002-11-01
54,PRIMAVERA ENERGIA S.A.,C,1970-06-01
55,Jayaditya Empreendimentos e Participações Ltda,A,1949-01-01
56,Dme Energética S.A. - DMEE,C,2009-09-01
57,Dme Energética S.A. - DMEE,C,2009-09-01
58,DME DISTRIBUIÇÃO S.A. - DMED,B,1998-05-22
59,DME DISTRIBUIÇÃO S.A. - DMED,B,1950-01-01
60,DME DISTRIBUIÇÃO S.A. - DMED,C,1999-01-01
61,Copel Geração E Transmissão S.A.,B,1949-01-01
62,Copel Geração E Transmissão S.A.,B,1949-01-01
63,Quanta Geração S.A.,B,1949-01-01
64,Quanta Geração S.A.,B,1949-01-01
65,AREAL ENERGIAS RENOVÁVEIS LTDA.,C,1924-01-01
66,TECNOVOLT CENTRAIS ELÉTRICAS S.A.,C,2009-08-07
67,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,B,1989-06-30
68,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,C,1989-06-30
69,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,C,1989-06-30
70,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,C,1989-06-30
71,CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S/A,C,1989-06-30
72,AES Brasil Operações S.A.,B,1965-10-25
73,Companhia Brasileira de Alumínio,B,1986-01-31
74,Companhia Brasileira de Alumínio,B,2002-06-28
75,AES Brasil Operações S.A.,B,1963-05-20
76,Elera Renováveis S.A.,B,2009-10-15
77,Global Energia Elétrica S.A,C,2002-11-30
78,Agropecuária Rossato Ltda,C,1954-12-01
79,Statkraft Energias Renováveis S.A.,C,2001-02-20
80,Companhia Hidro Elétrica do São Francisco,B,1969-08-01
81,PCH BV II - GERAÇÃO DE ENERGIA LTDA,C,1972-01-01
82,BONFANTE ENERGÉTICA S/A,B,2008-05-16
83,CELESC Geração S.A.,C,1931-01-01
84,CELESC Geração S.A.,C,1947-01-01
85,CELESC Geração S.A.,B,1960-01-01
86,NOVELIS DO BRASIL LTDA.,B,1958-01-01
87,NOVELIS DO BRASIL LTDA.,B,1958-01-01
88,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1960-08-01
89,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1956-02-01
90,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1951-01-01
91,COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA,C,1999-05-08
92,Chimay Empreendimentos e Participações Ltda.,C,1922-01-01
93,MAYNART ENERGÉTICA LTDA.,C,1944-01-01
94,MAYNART ENERGÉTICA LTDA.,B,1959-01-01
95,MAYNART ENERGÉTICA LTDA.,C,1957-01-01
96,MAYNART ENERGÉTICA LTDA.,C,1957-01-01
97,MAYNART ENERGÉTICA LTDA.,C,1948-01-01
98,MAYNART ENERGÉTICA LTDA.,C,1940-01-01
99,MAYNART ENERGÉTICA LTDA.,B,2003-05-01
100,MAYNART ENERGÉTICA LTDA.,B,2003-09-01
101,JFG Energia S.A,C,1997-01-15
102,ZONA DA MATA GERAÇÃO S/A,B,1998-06-15
103,AES Brasil Operações S.A.,B,1966-08-22
104,CEMIG Geração Oeste S.A.,B,1953-10-01
105,CPFL Sul Centrais Elétricas Ltda,C,2005-11-20
106,CEMIG Geração Camargos S.A.,B,1958-07-07
107,ENGIE Brasil Energia S.A.,B,2002-02-10
108,ENGIE Brasil Energia S.A.,B,2002-02-10
109,ENGIE Brasil Energia S.A.,B,2002-02-10
110,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1956-12-15
111,Aliança Geração de Energia S.A.,B,2004-03-30
112,VALE S.A.,B,2004-03-30
113,Rio Verde Energia S.A.,C,2006-09-10
114,Companhia Brasileira de Alumínio,B,1999-04-24
115,Rio Paranapanema Energia S.A.,B,1999-04-24
116,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,B,1933-01-01
117,Companhia Estadual de Geração de Energia Elétrica - CEEE-G,C,1933-01-01
118,Rio Paranapanema Energia S.A.,B,1975-12-20
119,Sociedade Urbano CERBRANORTE - Geração de Energia Elétrica SPE Ltda.,C,2016-04-29
120,COMPANHIA TECIDOS SANTANENSE,C,1960-01-06
121,APIACÁS ENERGIA S.A.,C,1970-06-01
122,COPREL Cooperativa de Geração de Energia e Desenvolvimento,C,1948-01-02
123,COMPANHIA ENERGÉTICA RIO DAS ANTAS,B,2008-01-16
124,CELESC Geração S.A.,B,1940-01-01
125,CELESC Geração S.A.,C,1940-01-01
126,Copel Geração E Transmissão S.A.,C,1965-01-01
127,CAZUZA FERREIRA ENERGÉTICA S/A,C,2015-11-07
128,CELESC Geração S.A.,B,1949-01-01
129,CELESC Geração S.A.,C,1949-01-01
130,CELESC Geração S.A.,C,1963-01-01
131,Copel Geração E Transmissão S.A.,B,1931-01-01
132,Copel Geração E Transmissão S.A.,B,1952-01-01
