year;area km²;mun;geocode_ibge
2022;0,79;Buriti Bravo;2102309
2022;0,00;Itaubal;1600253
2022;0,00;Lagoa do Tocantins;1711951
2022;0,00;Central do Maranhão;2103125
2022;0,00;Santo Antônio do Tauá;1507003
2022;0,00;Filadélfia;1707702
2022;0,00;Bonito;1501600
2022;0,00;Carolina;2102804
2022;0,00;Olho d'Água das Cunhãs;2107407
2022;0,00;Benedito Leite;2101806
2022;0,00;Cristalândia;1706100
2022;0,00;Araguainha;5101209
2022;0,00;Fátima;1707553
2022;0,00;Miranorte;1713304
2022;0,00;Cachoeirinha;1703826
2022;0,00;Santa Rita do Trivelato;5107768
2022;0,00;Capanema;1502202
2022;0,00;Riachão;2109502
2022;0,00;São Roberto;2111672
2022;0,00;Palmeiras do Tocantins;1713809
2022;0,00;Ponte Alta do Tocantins;1717909
2022;0,00;Sucupira do Norte;2111904
2022;0,00;São Pedro da Cipa;5107404
2022;0,00;Taipas do Tocantins;1720937
2022;0,00;Arenápolis;5101308
2022;0,00;Novo Horizonte do Norte;5106273
2022;0,00;Esperantinópolis;2104008
2022;0,00;Nossa Senhora do Livramento;5106109
2022;0,00;Pontal do Araguaia;5106653
2022;0,00;Presidente Sarney;2109270
2022;0,00;Pedro do Rosário;2108256
2022;0,00;Buriti do Tocantins;1703800
2022;0,00;Bacuri;2101301
2022;0,00;Alto Taquari;5100607
2022;0,00;Santo Antônio do Leste;5107792
2022;0,00;Santa Rita do Tocantins;1718899
2022;0,00;São Salvador do Tocantins;1720259
2022;0,00;Vitorino Freire;2113009
2022;0,00;Tracuateua;1508035
2022;0,00;Porto Alegre do Tocantins;1718006
2022;0,00;Itiquira;5104609
2022;0,00;Pugmil;1718451
2022;0,00;Governador Nunes Freire;2104677
2022;0,00;Lago dos Rodrigues;2105948
2022;0,00;Rosário Oeste;5107701
2022;0,00;Palmas;1721000
2022;0,00;Paranã;1716208
2022;0,00;Tupirama;1721257
2022;0,00;Porto Rico do Maranhão;2109056
2022;0,00;Passagem Franca;2107902
2022;0,00;Barra do Ouro;1703073
2022;0,00;Cajapió;2102408
2022;0,00;São Domingos do Azeitão;2110658
2022;0,00;Pequizeiro;1716653
2022;0,00;Bela Vista do Maranhão;2101772
2022;0,00;Tocantínia;1721109
2022;0,00;Alvorada;1700707
2022;0,00;Talismã;1720978
2022;0,00;Gurupi;1709500
2022;0,00;Raposa;2109452
2022;0,00;Sucupira;1720853
2022;0,00;Torixoréu;5108204
2022;0,00;Mirinzal;2106805
2022;0,00;Natividade;1714203
2022;0,00;Conceição do Lago-Açu;2103554
2022;0,00;Guiratinga;5104203
2022;0,00;Darcinópolis;1706506
2022;0,00;Goiatins;1709005
2022;0,00;Alto Garças;5100409
2022;0,00;Santa Rosa do Tocantins;1718907
2022;0,00;Lago da Pedra;2105708
2022;0,00;Santa Luzia do Paruá;2110039
2022;0,00;Pedra Preta;5106372
2022;0,00;Bragança;1501709
2022;0,00;Rio Branco;5107206
2022;0,00;Igarapé Grande;2105203
2022;0,00;Guimarães;2104909
2022;0,00;Primavera do Leste;5107040
2022;0,00;Nova Marilândia;5108857
2022;0,00;Jaú do Tocantins;1711506
2022;0,00;Alto Paraguai;5100508
2022;0,00;Ponte Alta do Bom Jesus;1717800
2022;0,00;Barra do Garças;5101803
2022;0,00;Cachoeira Grande;2102374
2022;0,00;Santa Cruz do Arari;1506401
2022;0,00;Divinópolis do Tocantins;1707108
2022;0,00;Cuiabá;5103403
2022;0,00;Augusto Corrêa;1500909
2022;0,00;Rondonópolis;5107602
2022;0,00;Nova Rosalândia;1715002
2022;0,00;Trizidela do Vale;2112233
2022;0,00;São Vicente Ferrer;2111706
2022;0,00;Mãe do Rio;1504059
2022;0,00;Axixá;2101103
2022;0,00;Arraias;1702406
2022;0,00;Juarina;1711803
2022;0,00;Olinda Nova do Maranhão;2107456
2022;0,00;Acorizal;5100102
2022;0,00;Inhangapi;1503408
2022;0,00;Bom Lugar;2102077
2022;0,00;São Mateus do Maranhão;2111508
2022;0,00;Serrano do Maranhão;2111789
2022;0,00;Barrolândia;1703107
2022;0,00;Icatu;2105104
2022;0,00;Campos Lindos;1703842
2022;0,00;Chapada de Areia;1704600
2022;0,00;Dianópolis;1707009
2022;0,00;Junco do Maranhão;2105658
2022;0,00;General Carneiro;5103908
2022;0,00;São Raimundo do Doca Bezerra;2111631
2022;0,00;Rio Sono;1718758
2022;0,00;São Félix de Balsas;2110807
2022;0,00;Cariri do Tocantins;1703867
2022;0,00;Campinápolis;5102603
2022;0,00;Novo Acordo;1715101
2022;0,00;Soure;1507904
2022;0,00;Tabocão;1708254
2022;0,00;Bacabal;2101202
2022;0,00;Luzinópolis;1712454
2022;0,00;Brasilândia do Tocantins;1703602
2022;0,00;São Bento;2110500
2022;0,00;Paraíso do Tocantins;1716109
2022;0,00;Santa Maria do Tocantins;1718881
